nom,code_postal,ville,siret,adresse
"Tribunal de proximité de Belley","01300","Belley","17690111400502","Boulevard du Mail"
"Tribunal de proximité d'Illkirch-Graffenstaden","67400","Illkrich-Graffenstaden","17680111600524","144 A route de Lyon"
"Tribunal de proximité de Palaiseau","91120","PALAISEAU","17750111100526","Place de la Victoire"
"Tribunal de proximité d'Aubervilliers","93306","AUBERVILLIERS CEDEX","17750111100534","Square Stalingrad"
"Tribunal de proximité de Montreuil (93)","93100","MONTREUIL","17750111100542","62 Rue Franklin"
"Tribunal de proximité de Fréjus","83600","Fréjus","17130111200560","268 Rue Jean-Jaurès"
"Tribunal de proximité de Poissy","78308","POISSY CEDEX","17780111500565","89 Avenue Maurice Berteaux"
"Tribunal de proximité d'Asnières-sur-Seine","92600","ASNIERES SUR SEINE","17780111500581","112 Avenue de la Redoute"
"Tribunal de proximité de Châtellerault","86100","Châtellerault","17860111800585","1 avenue Georges Clémenceau"
"Tribunal de proximité de Saint-Girons","09200","Saint-Girons","17310111400598","rue Renée Dejean"
"Tribunal de proximité de Boulogne-Billancourt","92104","BOULOGNE BILLANCOURT CEDEX","17780111500599","35 rue Paul Bert"
"Tribunal de proximité de Sannois","95110","SANNOIS","17780111500607","5 Square Jules Ferry"
"Tribunal de proximité de Charenton-le-Pont","94220","CHARENTON LE PONT","17750111100609","48 Rue de Paris"
"Tribunal de proximité de Cognac","16100","Cognac","17330111000610","3 rue Pierre Martin Civat"
"Tribunal de proximité de Morlaix","29600","Morlaix","17350111500617","6 allée du Poan Ben"
"Tribunal de proximité d'Ivry-sur-Seine","94205","IVRY SUR SEINE","17750111100625","Place Marcel Cachin"
"Tribunal de proximité d'Hazebrouck","59524","HAZEBROUCK CEDEX","17590111500634","8 rue André Biebuyck"
"Tribunal de proximité d'Aubenas","07200","Aubenas","17300111600636","10 rue Georges Couderc"
"Tribunal de proximité d'Annonay","07100","Annonay","17300111600644","26 boulevard de la République"
"Tribunal de proximité de Rochefort","17300","Rochefort","17860111800650","26 Rue Antoine Chanzy"
"Tribunal de proximité de Pertuis","84120","Pertuis","17300111600651","Place du 4 Septembre"
"Tribunal de proximité de Longjumeau","91162","LONGJUMEAU CEDEX","17750111100658","11 Av. du Maréchal Leclerc"
"Tribunal de proximité d'Etampes","91152","ETAMPES CEDEX","17750111100708","1 Rue Aristide Briand"
"Tribunal de proximité de Cagnes-sur-Mer","06800","CAGNES SUR MER","17130111200719","100 Avenue Cyrille Besset"
"Tribunal de proximité de Lagny-sur-Marne","77405","LAGNY SUR MARNE","17750111100724","108 rue Saint-Denis"
"Tribunal de proximité de Montbard","21500","Montbard","17210111500761","6 avenue foch"
"Tribunal de proximité de Flers","61100","Flers","17140111000845","33 rue Jules Gévelot"
"Tribunal de proximité de Juvisy-sur-Orge","91265","JUVISY SUR ORGE","17750111100898","27 Rue Victor Hugo"
"Tribunal de proximité du Raincy","93340","LE RAINCY","17750111100997","8 Allée Baratin"
"Tribunal de proximité de Pantin","93692","PANTIN CEDEX","17750111101052","41 Rue Delizy"
"Tribunal de proximité de Saint-Ouen","93582","SAINT OUEN","17750111101078","4 rue Diderot"
"Tribunal de proximité d'Antibes","06600","ANTIBES","17130111201238","60 deuxième avenue"
"Tribunal de proximité de Villejuif","94808","VILLEJUIF CEDEX","17750111101284","127-129 Rue Jean Jaurès"
"Tribunal de proximité de Saint-Denis","93200","SAINT DENIS","17750111101318","1 Passage des deux Pichets"
"Tribunal de proximité de Sucy en Brie","94370","SUCY EN BRIE","17750111101748","2 rue Pierre Sémard"
